query_id,doc_id,rank,score
0,4346436,1,0.7080339193344116
0,14103509,2,0.6793058514595032
0,17388232,3,0.6771515011787415
0,29638116,4,0.6759815812110901
0,2121272,5,0.6724584102630615
0,927561,6,0.6689443588256836
0,21456232,7,0.6659140586853027
0,35621259,8,0.6606821417808533
0,10982689,9,0.6600705981254578
0,37437064,10,0.6593394875526428
0,23763738,11,0.6591057777404785
0,16736872,12,0.6568506956100464
0,7583104,13,0.6558067798614502
0,17814815,14,0.6551573872566223
0,4300851,15,0.6538867950439453
0,25435456,16,0.6538462042808533
0,196664003,17,0.6525740027427673
0,32532238,18,0.6506655216217041
0,16962732,19,0.6470208764076233
0,169264,20,0.6469413042068481
0,25404036,21,0.6468823552131653
0,4346731,22,0.6461403369903564
0,19855358,23,0.64372318983078
0,23897346,24,0.643186092376709
0,13592721,25,0.6427212953567505
0,25950264,26,0.6411523818969727
0,4928282,27,0.6410964131355286
0,4446814,28,0.6406784653663635
0,58050905,29,0.6405136585235596
0,10607877,30,0.6400185823440552
0,21578627,31,0.6381240487098694
0,15337254,32,0.6380858421325684
0,6190603,33,0.6377030611038208
0,19685306,34,0.6366925835609436
0,24335068,35,0.6348990201950073
0,17101262,36,0.6345745921134949
0,23141360,37,0.6345231533050537
0,7421677,38,0.6344888210296631
0,38037690,39,0.6339697241783142
0,33986200,40,0.6339354515075684
0,26047921,41,0.6335363984107971
0,5764562,42,0.6332977414131165
0,16427454,43,0.6330153942108154
0,3845894,44,0.6329237818717957
0,31715818,45,0.6325473785400391
0,46193478,46,0.6323564052581787
0,11884867,47,0.6312131285667419
0,12370190,48,0.6311681270599365
0,82665667,49,0.6306498050689697
0,16057926,50,0.6303488612174988
0,21874414,51,0.6293524503707886
0,11172205,52,0.6292601823806763
0,39728826,53,0.6284165382385254
0,17208742,54,0.6282556653022766
0,20279166,55,0.6281299591064453
0,6219790,56,0.6277309656143188
0,22867765,57,0.6274782419204712
0,8386609,58,0.6267739534378052
0,24042919,59,0.6266487836837769
0,17123657,60,0.6264106035232544
0,6308416,61,0.6260929107666016
0,20101846,62,0.626078724861145
0,5377059,63,0.625968337059021
0,9629682,64,0.6255490779876709
0,8219248,65,0.6254803538322449
0,5254741,66,0.6248956918716431
0,10628767,67,0.6247336864471436
0,7396492,68,0.624642550945282
0,11419230,69,0.6244244575500488
0,46182525,70,0.6240216493606567
0,8570478,71,0.62356036901474
0,12866641,72,0.6231386661529541
0,9580772,73,0.6229732036590576
0,2140513,74,0.6228896975517273
0,831167,75,0.6227564811706543
0,41982985,76,0.6226798295974731
0,121581019,77,0.6222842931747437
0,464511,78,0.622272253036499
0,41900731,79,0.6221400499343872
0,6863070,80,0.6207926273345947
0,1322614,81,0.620604395866394
0,22505710,82,0.6205810308456421
0,4391685,83,0.6205599904060364
0,11498670,84,0.6205581426620483
0,27995781,85,0.6205423474311829
0,2056197,86,0.6205201148986816
0,28071965,87,0.6198753714561462
0,9272598,88,0.6197508573532104
0,24356383,89,0.6197338700294495
0,22712546,90,0.61955326795578
0,8290953,91,0.6194745898246765
0,28025754,92,0.6192489862442017
0,4459491,93,0.6189174652099609
0,16056410,94,0.6188172101974487
0,54561709,95,0.6185882687568665
0,14652521,96,0.6182914972305298
0,9412420,97,0.6182853579521179
0,32827351,98,0.6181414127349854
0,14082855,99,0.6180592775344849
0,38805486,100,0.6177799701690674
2,13734012,1,0.7297422289848328
2,27063470,2,0.7198725342750549
2,18617259,3,0.662632942199707
2,25261168,4,0.6611742377281189
2,11349166,5,0.6567064523696899
2,21550246,6,0.653631865978241
2,19945096,7,0.6511632800102234
2,3413083,8,0.647551417350769
2,23124332,9,0.6456870436668396
2,841371,10,0.6398197412490845
2,1583041,11,0.637770414352417
2,5850219,12,0.6374837160110474
2,27466734,13,0.6348504424095154
2,7751726,14,0.6315438747406006
2,27889071,15,0.6308140754699707
2,2867345,16,0.6284555196762085
2,4505748,17,0.627946138381958
2,43629704,18,0.6237265467643738
2,23203102,19,0.6210111975669861
2,27711043,20,0.6203382015228271
2,13619127,21,0.615700364112854
2,33257464,22,0.6149982213973999
2,13791044,23,0.6148688793182373
2,37619697,24,0.6143258213996887
2,5558754,25,0.6137200593948364
2,76463821,26,0.6128972172737122
2,13900610,27,0.6126537919044495
2,45027320,28,0.6117419004440308
2,29185044,29,0.6112942695617676
2,4828631,30,0.6111677289009094
2,42240424,31,0.6108942031860352
2,38040186,32,0.6099446415901184
2,30983338,33,0.6096704006195068
2,8298120,34,0.6073238849639893
2,1292369,35,0.607198178768158
2,32481310,36,0.6063202619552612
2,12442311,37,0.606174886226654
2,44624045,38,0.6059836149215698
2,3078080,39,0.6059492230415344
2,11953232,40,0.6055155992507935
2,4414547,41,0.6054240465164185
2,20008796,42,0.6053080558776855
2,20999249,43,0.6045702695846558
2,21048969,44,0.6045441031455994
2,37916361,45,0.6032312512397766
2,6421734,46,0.6031304597854614
2,5372432,47,0.6027957201004028
2,12794099,48,0.6026993989944458
2,76415938,49,0.6018243432044983
2,45820464,50,0.6004332304000854
2,2058909,51,0.5999696850776672
2,14700857,52,0.5998960733413696
2,17124832,53,0.5998491644859314
2,2496002,54,0.5995135307312012
2,6710713,55,0.5992001891136169
2,11880289,56,0.5984980463981628
2,29955650,57,0.5984470248222351
2,9272598,58,0.5980402231216431
